Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C13, C14, C15, C16, C17, C20, C3, C4, C5, C8",0402,13,100 nF,C307331
"C18, C23",0402,2,15 pF,C1548
"C22, C6",0402,2,22 pF,C70464
"C7, C9",0402,2,1 uF,C52923
D1,0402,1,LED,C165978
J2,CONN_PPTC041LGBN-RC_SUL,1,PPTC041LGBN-RC,C3320934
J4,MOLEX_503398-1892,1,503398-1892,C428492
J6,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0_16P,C2765186
"R10, R13, R15, R7, R8, R9",0402,6,10K,C60489
"R11, R12",0402,2,5.1K,C25905
R14,0402,1,1K,C71623
"R3, R6",0402,2,1k,C11702
"R4, R5",0402,2,27,C25100
"S10, S11, S7, S8, S9",SW_TS-1187A-B-A-B,5,TS-1187A-B-A-B,C318884
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U3,QFN28_6X6MC_MCH,1,MCP25625T-E/ML,     C191253
U4,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVP,C190862
X1,ABM8-272-T3_ABR,1,ABM8-272-T3,C20625731
Y1,OSC_X322516MLB4SI,1,X322516MLB4SI,C13738
